No_Responden,X1.1,X1.2,X1.3,TOTAL X1,X2.1,X2.2,X2.3,TOTAL X2,X3.1,X3.2,X3.3,TOTAL X3,X4.1,X4.2,X4.3,TOTAL X4,Y1,Y2,Y3,Y4,SKOR_TOTAL_Y,LABEL,Skor_X1,Skor_X2,Skor_X3,Skor_X4,Total_Y
1.0,1,1,2,4,2,2,2,1,3,1,1,5,1,2,3,6,2,2,2,2,8.0,SEDANG,4,6,5,6,8
2.0,1,1,2,4,1,2,1,4,3,2,3,8,3,1,1,5,2,2,2,1,7.0,SEDANG,4,4,8,5,7
3.0,2,1,2,5,1,2,2,5,3,2,2,7,3,2,2,7,2,2,2,2,8.0,SEDANG,5,5,7,7,8
4.0,2,2,2,6,2,2,2,6,3,2,2,7,1,2,3,6,2,2,2,2,8.0,SEDANG,6,6,7,6,8
5.0,1,1,1,3,1,1,1,3,2,3,3,8,3,2,3,8,2,1,1,1,5.0,RENDAH,3,3,8,8,5
6.0,1,1,1,3,1,1,2,4,3,3,3,9,3,2,2,7,1,1,1,1,4.0,RENDAH,3,4,9,7,4
7.0,1,2,2,5,1,2,1,4,3,3,3,9,3,2,3,8,1,2,1,1,5.0,RENDAH,5,4,9,8,5
8.0,1,1,1,3,1,1,1,3,3,3,3,9,3,1,1,5,1,1,1,1,4.0,RENDAH,3,3,9,5,4
9.0,1,1,3,5,2,2,2,6,3,3,3,9,3,2,3,8,2,3,3,3,11.0,TINGGI,5,6,9,8,11
10.0,2,1,2,5,2,3,2,7,3,3,2,8,3,3,3,9,3,2,3,2,10.0,TINGGI,5,7,8,9,10
11.0,1,1,2,4,2,2,2,6,3,3,2,8,3,2,3,8,2,2,2,2,8.0,SEDANG,4,6,8,8,8
12.0,2,2,3,7,2,3,2,7,3,2,3,8,3,1,2,6,2,3,3,2,10.0,TINGGI,7,7,8,6,10
13.0,3,2,3,8,2,2,3,7,3,2,3,8,3,3,2,8,3,2,2,1,8.0,SEDANG,8,7,8,8,8
14.0,1,2,2,5,1,2,3,6,2,2,2,6,1,2,2,5,3,2,2,3,10.0,TINGGI,5,6,6,5,10
15.0,2,3,2,7,2,3,2,7,3,3,3,9,2,3,2,7,2,2,3,3,10.0,TINGGI,7,7,9,7,10
16.0,2,1,2,5,1,3,2,6,3,3,3,9,1,2,3,6,3,2,3,1,9.0,SEDANG,5,6,9,6,9
17.0,3,3,2,8,2,3,2,7,2,3,3,8,3,1,3,7,2,3,2,2,9.0,SEDANG,8,7,8,7,9
18.0,2,1,3,6,2,2,3,7,2,3,2,7,3,1,3,7,3,3,2,1,9.0,SEDANG,6,7,7,7,9
19.0,2,2,1,5,1,2,1,4,3,2,2,7,2,2,3,7,2,1,2,3,8.0,SEDANG,5,4,7,7,8
20.0,2,3,2,7,3,2,2,7,3,2,2,7,3,2,3,8,2,3,2,2,9.0,SEDANG,7,7,7,8,9
21.0,3,3,2,8,2,3,2,7,2,2,3,7,2,1,3,6,2,3,3,2,10.0,TINGGI,8,7,7,6,10
22.0,2,3,2,7,3,2,2,7,3,2,2,7,3,2,2,7,3,2,3,2,10.0,TINGGI,7,7,7,7,10
23.0,2,3,2,7,2,3,2,7,3,2,3,8,2,2,3,7,2,2,3,2,9.0,SEDANG,7,7,8,7,9
24.0,2,2,2,6,2,1,2,5,3,3,2,8,3,1,2,6,3,1,2,1,7.0,SEDANG,6,5,8,6,7
25.0,2,1,2,5,1,3,2,6,3,3,2,8,1,2,3,6,2,1,1,1,5.0,RENDAH,5,6,8,6,5
26.0,3,2,1,6,2,1,1,4,3,3,3,9,3,1,2,6,1,1,2,1,5.0,RENDAH,6,4,9,6,5
27.0,2,1,3,6,1,3,1,5,3,3,3,9,3,1,1,5,3,2,2,1,8.0,SEDANG,6,5,9,5,8
