No_Responden,Jarak_Kota,X1.1,X1.2,X1.3,TOTAL X1,X2.1,X2.2,X2.3,TOTAL X2,X3.1,X3.2,X3.3,TOTAL X3,X4.1,X4.2,X4.3,TOTAL X4,Skor_X1,Skor_X2,Skor_X3,Skor_X4,Total_Skor,LABEL
1,JAUH DARI KOTA,3,3,1,7,3,3,1,7,1,3,3,7,3,2,2,7,7,7,7,7,28,SEDANG
2,JAUH DARI KOTA,2,1,2,5,1,1,2,4,2,2,3,7,2,3,1,6,5,4,7,6,22,SEDANG
3,DEKAT KOTA,3,2,1,6,1,1,3,5,2,1,1,4,1,3,3,7,6,5,4,7,22,SEDANG
4,JAUH DARI KOTA,2,3,1,6,2,1,1,4,3,2,3,8,3,2,1,6,6,4,8,6,24,SEDANG
5,JAUH DARI KOTA,1,2,1,4,2,2,3,7,2,3,1,6,1,1,1,3,4,7,6,3,20,RENDAH
6,JAUH DARI KOTA,3,1,2,6,2,2,3,7,1,1,1,3,3,2,2,7,6,7,3,7,23,SEDANG
7,JAUH DARI KOTA,1,2,2,5,3,3,3,9,3,1,3,7,2,1,2,5,5,9,7,5,26,SEDANG
8,DEKAT KOTA,2,2,3,7,3,1,1,5,3,2,1,6,3,3,3,9,7,5,6,9,27,SEDANG
9,JAUH DARI KOTA,2,3,3,8,3,3,1,7,1,3,2,6,1,3,1,5,8,7,6,5,26,SEDANG
10,JAUH DARI KOTA,1,2,3,6,3,2,2,7,3,3,2,8,1,1,2,4,6,7,8,4,25,SEDANG
11,DEKAT KOTA,1,2,1,4,1,3,3,7,1,1,3,5,3,3,2,8,4,7,5,8,24,SEDANG
12,JAUH DARI KOTA,1,3,1,5,2,2,3,7,2,1,3,6,1,1,2,4,5,7,6,4,22,SEDANG
13,JAUH DARI KOTA,2,2,2,6,2,3,1,6,1,1,1,3,2,1,3,6,6,6,3,6,21,SEDANG
14,JAUH DARI KOTA,3,1,1,5,3,3,2,8,3,2,2,7,2,2,2,6,5,8,7,6,26,SEDANG
15,JAUH DARI KOTA,1,3,2,6,3,3,2,8,1,2,1,4,3,1,1,5,6,8,4,5,23,SEDANG
16,JAUH DARI KOTA,1,3,3,7,1,1,2,4,1,2,1,4,2,3,1,6,7,4,4,6,21,SEDANG
17,DEKAT KOTA,1,1,1,3,2,1,3,6,3,1,3,7,1,1,3,5,3,6,7,5,21,SEDANG
18,JAUH DARI KOTA,1,3,2,6,1,2,3,6,2,2,3,7,2,2,3,7,6,6,7,7,26,SEDANG
19,JAUH DARI KOTA,2,3,2,7,3,3,2,8,2,2,1,5,1,1,3,5,7,8,5,5,25,SEDANG
20,DEKAT KOTA,2,3,1,6,2,3,2,7,3,2,1,6,1,2,3,6,6,7,6,6,25,SEDANG
21,JAUH DARI KOTA,1,1,1,3,2,2,3,7,3,3,2,8,2,3,3,8,3,7,8,8,26,SEDANG
22,DEKAT KOTA,2,3,1,6,2,3,2,7,1,2,2,5,2,2,1,5,6,7,5,5,23,SEDANG
23,JAUH DARI KOTA,2,2,3,7,2,3,1,6,1,1,1,3,3,2,1,6,7,6,3,6,22,SEDANG
24,DEKAT KOTA,2,3,3,8,3,1,2,6,2,2,3,7,1,3,3,7,8,6,7,7,28,SEDANG
25,DEKAT KOTA,2,3,2,7,1,2,1,4,2,3,3,8,1,1,1,3,7,4,8,3,22,SEDANG
26,DEKAT KOTA,2,2,1,5,3,2,2,7,2,1,1,4,1,1,1,3,5,7,4,3,19,RENDAH
27,DEKAT KOTA,3,3,1,7,2,1,3,6,3,2,3,8,1,2,1,4,7,6,8,4,25,SEDANG
28,DEKAT KOTA,1,2,1,4,3,1,2,6,2,2,1,5,2,2,1,5,4,6,5,5,20,RENDAH
29,JAUH DARI KOTA,3,1,2,6,2,1,3,6,2,2,2,6,1,2,3,6,6,6,6,6,24,SEDANG
30,JAUH DARI KOTA,2,2,3,7,2,1,1,4,1,3,2,6,1,3,2,6,7,4,6,6,23,SEDANG
31,JAUH DARI KOTA,3,1,1,5,1,3,3,7,1,3,1,5,1,2,3,6,5,7,5,6,23,SEDANG
32,JAUH DARI KOTA,1,1,3,5,2,2,1,5,3,2,3,8,3,1,2,6,5,5,8,6,24,SEDANG
33,JAUH DARI KOTA,1,2,2,5,2,2,2,6,3,1,3,7,2,1,2,5,5,6,7,5,23,SEDANG
34,JAUH DARI KOTA,1,3,1,5,1,1,1,3,1,2,1,4,1,3,1,5,5,3,4,5,17,RENDAH
