No_Responden,Skor_X1,Skor_X2,Skor_X3,Skor_X4,LABEL
1,7,6,5,5,SEDANG
2,4,1,1,6,RENDAH
3,8,9,7,6,TINGGI
4,5,6,5,3,RENDAH
5,7,3,6,7,SEDANG
6,10,4,7,9,TINGGI
7,3,4,3,10,SEDANG
8,7,3,10,8,SEDANG
9,8,10,3,6,SEDANG
10,5,3,5,8,SEDANG
11,4,3,6,5,RENDAH
12,8,4,9,8,SEDANG
13,8,7,5,10,TINGGI
14,3,4,1,4,RENDAH
15,6,9,4,10,SEDANG
16,5,1,5,8,RENDAH
17,2,8,10,10,TINGGI
18,8,7,10,2,SEDANG
19,6,2,5,5,RENDAH
20,2,8,7,9,SEDANG
21,5,1,4,4,RENDAH
22,1,9,1,6,RENDAH
23,10,9,5,1,SEDANG
24,6,2,7,9,SEDANG
25,9,7,10,1,SEDANG
26,1,10,10,5,SEDANG
27,10,3,6,4,SEDANG
28,3,7,5,3,RENDAH
29,7,10,4,6,SEDANG
30,4,9,2,2,RENDAH
31,9,4,4,3,SEDANG
32,3,1,10,5,RENDAH
33,5,2,10,9,SEDANG
34,3,1,3,2,RENDAH
35,7,5,10,10,TINGGI
36,5,5,1,8,RENDAH
37,9,7,8,2,SEDANG
38,7,9,5,5,SEDANG
39,2,9,4,7,SEDANG
40,4,3,8,8,SEDANG
41,9,3,7,1,SEDANG
42,2,3,2,6,RENDAH
43,10,4,1,1,RENDAH
44,9,8,4,2,SEDANG
45,10,6,8,1,SEDANG
46,5,8,2,5,SEDANG
47,2,1,3,10,RENDAH
48,4,8,1,9,SEDANG
49,7,4,1,6,RENDAH
50,8,1,3,1,RENDAH
51,3,8,5,1,RENDAH
52,1,4,3,2,RENDAH
53,4,6,1,9,SEDANG
54,2,8,1,3,RENDAH
55,8,4,8,1,SEDANG
56,4,3,10,5,SEDANG
57,2,9,2,7,SEDANG
58,6,3,3,6,RENDAH
59,6,9,2,1,RENDAH
60,10,2,3,5,SEDANG
61,4,2,7,5,RENDAH
62,6,2,1,6,RENDAH
63,2,6,10,3,SEDANG
64,10,3,8,5,SEDANG
65,2,9,10,7,SEDANG
66,10,4,10,5,SEDANG
67,4,1,10,5,SEDANG
68,8,4,2,5,RENDAH
69,7,1,3,10,SEDANG
70,9,5,9,10,TINGGI
71,8,4,7,3,SEDANG
72,5,8,4,1,RENDAH
73,2,8,10,5,SEDANG
74,5,7,5,9,SEDANG
75,8,3,2,1,RENDAH
76,10,1,8,3,SEDANG
77,9,1,4,4,RENDAH
78,9,3,9,1,SEDANG
79,1,6,5,1,RENDAH
80,9,7,9,8,TINGGI
81,7,6,4,2,RENDAH
82,9,6,10,8,TINGGI
83,8,6,5,7,SEDANG
84,1,3,9,10,SEDANG
85,8,6,8,10,TINGGI
86,8,8,3,2,SEDANG
87,3,2,1,6,RENDAH
88,1,5,3,6,RENDAH
89,8,1,4,3,RENDAH
90,3,1,2,2,RENDAH
91,3,5,1,1,RENDAH
92,1,3,7,6,RENDAH
93,5,4,8,5,SEDANG
94,10,3,7,9,SEDANG
95,7,1,5,1,RENDAH
96,10,1,1,7,RENDAH
97,9,5,7,5,SEDANG
98,7,6,7,5,SEDANG
99,9,3,9,2,SEDANG
100,8,9,3,3,SEDANG
101,2,5,9,7,SEDANG
102,1,8,1,6,RENDAH
103,7,1,1,2,RENDAH
104,7,5,4,6,SEDANG
105,8,3,9,2,SEDANG
106,5,1,6,2,RENDAH
107,3,4,3,2,RENDAH
108,8,5,1,3,RENDAH
109,6,7,4,2,RENDAH
110,3,1,9,4,RENDAH
111,1,3,3,9,RENDAH
112,3,2,9,6,SEDANG
113,5,9,7,1,SEDANG
114,3,10,4,8,SEDANG
115,1,6,3,7,RENDAH
116,5,10,10,10,TINGGI
117,10,3,5,3,SEDANG
118,7,8,5,1,SEDANG
119,7,8,3,5,SEDANG
120,9,2,9,4,SEDANG
121,10,6,4,10,TINGGI
122,10,7,5,8,TINGGI
123,3,2,4,1,RENDAH
124,7,10,5,10,TINGGI
125,1,2,7,1,RENDAH
126,4,10,9,4,SEDANG
127,4,1,7,8,SEDANG
128,5,8,5,5,SEDANG
129,7,1,10,2,SEDANG
130,7,9,10,6,TINGGI
131,4,6,7,5,SEDANG
132,7,7,10,2,SEDANG
133,3,10,5,3,SEDANG
134,6,7,3,9,SEDANG
135,2,10,7,7,SEDANG
136,10,3,2,7,SEDANG
137,9,2,9,6,SEDANG
138,5,9,10,8,TINGGI
139,6,8,10,4,SEDANG
140,4,10,1,8,SEDANG
141,10,7,6,4,SEDANG
142,7,9,7,8,TINGGI
143,9,4,8,9,TINGGI
144,7,4,10,3,SEDANG
145,1,1,9,3,RENDAH
146,1,8,2,2,RENDAH
147,9,3,10,10,TINGGI
148,9,7,2,3,SEDANG
149,4,2,5,3,RENDAH
