,X1.1,X1.2,X1.3,TOTAL X1,X2.1,X2.2,X2.3,TOTAL X2,X3.1,X3.2,X3.3,TOTAL X3,X4.1,X4.2,X4.3,TOTAL X4,Y1,Y2,Y3,Y4,,
1.0,1,1,2,4,2,2,2,1,3,1,1,5,1,2,3,6,2,2,2,2,8.0,SEDANG
2.0,1,1,2,4,1,2,1,4,3,2,3,8,3,1,1,5,2,2,2,1,7.0,SEDANG
3.0,2,1,2,5,1,2,2,5,3,2,2,7,3,2,2,7,2,2,2,2,8.0,SEDANG
4.0,2,2,2,6,2,2,2,6,3,2,2,7,1,2,3,6,2,2,2,2,8.0,SEDANG
5.0,1,1,1,3,1,1,1,3,2,3,3,8,3,2,3,8,2,1,1,1,5.0,RENDAH
6.0,1,1,1,3,1,1,2,4,3,3,3,9,3,2,2,7,1,1,1,1,4.0,RENDAH
7.0,1,2,2,5,1,2,1,4,3,3,3,9,3,2,3,8,1,2,1,1,5.0,RENDAH
8.0,1,1,1,3,1,1,1,3,3,3,3,9,3,1,1,5,1,1,1,1,4.0,RENDAH
9.0,1,1,3,5,2,2,2,6,3,3,3,9,3,2,3,8,2,3,3,3,11.0,TINGGI
10.0,2,1,2,5,2,3,2,7,3,3,2,8,3,3,3,9,3,2,3,2,10.0,TINGGI
11.0,1,1,2,4,2,2,2,6,3,3,2,8,3,2,3,8,2,2,2,2,8.0,SEDANG
12.0,2,2,3,7,2,3,2,7,3,2,3,8,3,1,2,6,2,3,3,2,10.0,TINGGI
13.0,3,2,3,8,2,2,3,7,3,2,3,8,3,3,2,8,3,2,2,1,8.0,SEDANG
14.0,1,2,2,5,1,2,3,6,2,2,2,6,1,2,2,5,3,2,2,3,10.0,TINGGI
15.0,2,3,2,7,2,3,2,7,3,3,3,9,2,3,2,7,2,2,3,3,10.0,TINGGI
16.0,2,1,2,5,1,3,2,6,3,3,3,9,1,2,3,6,3,2,3,1,9.0,SEDANG
17.0,3,3,2,8,2,3,2,7,2,3,3,8,3,1,3,7,2,3,2,2,9.0,SEDANG
18.0,2,1,3,6,2,2,3,7,2,3,2,7,3,1,3,7,3,3,2,1,9.0,SEDANG
19.0,2,2,1,5,1,2,1,4,3,2,2,7,2,2,3,7,2,1,2,3,8.0,SEDANG
20.0,2,3,2,7,3,2,2,7,3,2,2,7,3,2,3,8,2,3,2,2,9.0,SEDANG
21.0,3,3,2,8,2,3,2,7,2,2,3,7,2,1,3,6,2,3,3,2,10.0,TINGGI
22.0,2,3,2,7,3,2,2,7,3,2,2,7,3,2,2,7,3,2,3,2,10.0,TINGGI
23.0,2,3,2,7,2,3,2,7,3,2,3,8,2,2,3,7,2,2,3,2,9.0,SEDANG
24.0,2,2,2,6,2,1,2,5,3,3,2,8,3,1,2,6,3,1,2,1,7.0,SEDANG
25.0,2,1,2,5,1,3,2,6,3,3,2,8,1,2,3,6,2,1,1,1,5.0,RENDAH
26.0,3,2,1,6,2,1,1,4,3,3,3,9,3,1,2,6,1,1,2,1,5.0,RENDAH
27.0,2,1,3,6,1,3,1,5,3,3,3,9,3,1,1,5,3,2,2,1,8.0,SEDANG
28.0,2,1,2,5,1,3,1,5,3,3,3,9,3,1,1,5,2,1,3,2,8.0,SEDANG
29.0,2,2,1,5,2,1,3,6,3,3,2,8,3,1,1,5,2,1,1,2,6.0,RENDAH
30.0,1,1,1,3,1,1,1,3,3,3,3,9,3,2,2,7,1,2,1,1,5.0,RENDAH
31.0,1,1,2,4,1,2,1,4,2,3,2,7,1,2,3,6,2,3,2,2,9.0,SEDANG
32.0,3,2,3,8,2,3,3,8,1,2,1,4,2,3,3,8,3,2,3,2,10.0,TINGGI
33.0,2,2,2,6,1,2,1,4,2,3,2,7,3,3,2,8,2,3,2,1,8.0,SEDANG
34.0,1,1,1,3,1,1,1,3,3,2,3,8,1,2,3,6,1,2,2,1,6.0,RENDAH
35.0,3,3,3,9,2,3,2,7,2,1,1,4,2,2,3,7,3,2,3,3,11.0,TINGGI
36.0,2,2,2,6,2,3,2,7,3,2,3,8,3,1,1,5,2,1,1,2,6.0,RENDAH
37.0,3,2,3,8,2,3,3,8,1,1,1,3,2,3,3,8,3,3,2,3,11.0,TINGGI
38.0,1,1,1,3,1,2,1,4,3,3,2,8,1,2,2,5,2,1,1,2,6.0,RENDAH
39.0,2,2,2,6,2,3,2,7,3,2,2,7,1,2,3,6,2,3,2,2,9.0,SEDANG
40.0,2,1,2,5,1,2,3,6,2,2,3,7,2,3,3,8,2,3,2,2,9.0,SEDANG
41.0,2,2,3,7,2,3,2,7,2,3,2,7,2,1,2,5,2,3,2,3,10.0,TINGGI
